design_id,jaccard_scFv2_6YYE,nover_scFv2_6YYE,frac_scFv2_6YYE,jaccard_scFv4_6Y6C,nover_scFv4_6Y6C,frac_scFv4_6Y6C,jaccard_PS_site_6B8O,nover_PS_site_6B8O,frac_PS_site_6B8O,cohort,is_hit,p_expressed,kd_arith_mean_nM_all
99,0.0,0,0.0,0.0,0,0.0,0.214,9,0.231,agent,False,True,
100,0.0,0,0.0,0.0,0,0.0,0.279,12,0.308,agent,,False,
101,0.053,1,0.053,0.034,1,0.034,0.0,0,0.0,agent,,False,
102,0.0,0,0.0,0.0,0,0.0,0.31,13,0.333,agent,True,True,6.8485499999999995
103,0.0,0,0.0,0.0,0,0.0,0.275,11,0.282,agent,True,True,34.53495
104,0.0,0,0.0,0.0,0,0.0,0.22,9,0.231,agent,,False,
105,0.0,0,0.0,0.0,0,0.0,0.325,13,0.333,agent,False,False,
106,0.0,0,0.0,0.023,1,0.034,0.31,13,0.333,agent,False,True,
107,0.0,0,0.0,0.0,0,0.0,0.025,1,0.026,agent,,False,
108,0.0,0,0.0,0.03,1,0.034,0.073,3,0.077,agent,,False,
109,0.0,0,0.0,0.056,2,0.069,0.171,7,0.179,agent,,False,
110,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,agent,,False,
111,0.0,0,0.0,0.059,2,0.069,0.15,6,0.154,agent,False,False,
112,0.0,0,0.0,0.0,0,0.0,0.175,7,0.179,agent,False,True,
113,0.0,0,0.0,0.0,0,0.0,0.225,9,0.231,agent,False,False,
114,0.0,0,0.0,0.0,0,0.0,0.256,10,0.256,agent,False,False,
115,0.0,0,0.0,0.0,0,0.0,0.214,9,0.231,agent,False,True,
116,0.0,0,0.0,0.0,0,0.0,0.175,7,0.179,agent,,False,
117,0.0,0,0.0,0.0,0,0.0,0.128,5,0.128,agent,,False,
118,0.0,0,0.0,0.0,0,0.0,0.098,4,0.103,agent,,False,
119,0.0,0,0.0,0.0,0,0.0,0.051,2,0.051,agent,,False,
