descriptor,binder_med,nonbinder_med,cliffs_delta,MWU_p,AP,AUROC,AUROC_dir,q_bh
bsa,1823.0,1515.3,0.441,0.00042269026420720086,0.622,0.72,+,0.0038042123778648075
n_iface_binder,22.0,19.0,0.384,0.0020532474378225614,0.561,0.692,+,0.009239613470201526
n_iface_target,17.0,14.5,0.285,0.02230596747098515,0.553,0.642,+,0.06691790241295545
salt_bridges,2.0,1.5,0.22,0.07280992840349158,0.53,0.61,+,0.16382233890785605
iface_frac_polar,0.14,0.15,-0.121,0.33402023541287895,0.44,0.561,-,0.49080181472033635
hbond_density_per100,0.39,0.39,-0.117,0.3511450517830994,0.473,0.558,-,0.49080181472033635
iface_frac_hydrophobic,0.59,0.57,0.11,0.3817347447824838,0.437,0.555,+,0.49080181472033635
iface_frac_charged,0.25,0.23,0.097,0.438400667392289,0.429,0.549,+,0.49320075081632514
hbonds,7.0,6.0,0.012,0.9267686654384966,0.456,0.506,+,0.9267686654384966
