design_id,bin,cohort,is_hit,kd
1,1,human,False,
2,1,human,False,
3,1,human,False,
4,1,human,False,
5,1,human,True,
6,1,human,True,706.0057
7,1,human,False,
8,1,human,False,
9,1,human,False,
10,1,human,False,
11,1,human,True,346.10474999999997
12,1,human,False,
13,1,human,True,1.2511
14,1,human,True,81.97735
15,1,human,True,72.87365
16,1,human,False,
17,1,human,True,1.11345
18,1,human,False,
21,1,human,True,86.49924999999999
22,1,human,True,215.597
23,1,human,True,532.32575
24,1,human,False,
25,1,human,True,97.1946
26,1,human,False,
27,1,human,False,
28,1,human,False,
29,1,human,False,
30,1,human,False,
33,1,human,True,69.7498
34,1,human,True,12.47215
35,1,human,True,27.389000000000003
37,3,human,False,
38,1,human,False,
39,1,human,False,
40,1,human,False,
41,2,human,False,
42,1,human,False,
45,1,human,True,32.12065
46,1,human,True,503.49665
47,1,human,True,46.148300000000006
48,1,human,True,639.21695
49,1,human,False,
50,1,human,False,
53,1,human,True,949.04785
54,1,human,False,
55,1,human,True,591.7795
56,1,human,False,
57,1,human,False,
58,1,human,False,
59,1,human,False,
60,1,human,True,1197.53735
61,1,human,False,
62,1,human,True,1634.8125999999995
63,1,human,True,1154.57135
65,1,human,False,
68,1,human,False,
69,1,human,False,
71,2,human,False,
73,1,human,False,
74,1,human,True,1.9082
75,1,human,False,
76,1,human,False,
79,2,human,True,21.6617
82,1,agent,True,34.906400000000005
84,1,agent,False,
85,2,agent,False,
86,1,agent,True,214.5512
87,1,agent,True,1062.2436333333333
90,1,agent,False,
91,1,agent,True,204.40915
92,1,agent,False,
94,1,agent,False,
95,1,agent,True,137.75336666666666
98,1,agent,False,
99,1,agent,False,
102,1,agent,True,6.8485499999999995
103,1,agent,True,34.53495
105,1,agent,False,
106,1,agent,False,
111,1,agent,False,
112,1,agent,False,
113,1,agent,False,
114,1,agent,False,
115,1,agent,False,
120,1,agent,False,
121,1,agent,False,
122,1,agent,False,
123,1,agent,True,1387.39155
125,1,agent,False,
126,1,agent,False,
132,1,agent,True,3.636133333333333
133,1,agent,False,
134,1,agent,True,177.59050000000002
137,1,agent,True,80.96844999999999
138,1,agent,True,46.2453
139,1,agent,False,
141,1,agent,False,
