design_id,n_tip,frac_tip,n_basic,frac_basic,n_cdr_perera,frac_cdr_perera,cohort,is_hit,expressed,p_screened,p_expressed,team,kd_arith_mean_nM_all
1,5,0.8333333333333334,0,0.0,6,0.5454545454545454,human,False,True,True,True,NovoFy,
2,5,0.8333333333333334,0,0.0,5,0.45454545454545453,human,False,True,True,True,NovoFy,
3,6,1.0,0,0.0,8,0.7272727272727273,human,False,True,True,True,NovoFy,
4,5,0.8333333333333334,2,0.25,7,0.6363636363636364,human,False,False,True,False,NovoFy,
5,6,1.0,0,0.0,6,0.5454545454545454,human,True,True,True,True,NovoFy,
6,6,1.0,0,0.0,8,0.7272727272727273,human,True,True,True,True,NovoFy,706.0057
7,6,1.0,0,0.0,7,0.6363636363636364,human,False,True,True,True,NovoFy,
8,6,1.0,1,0.125,7,0.6363636363636364,human,False,True,True,True,NovoFy,
9,6,1.0,0,0.0,8,0.7272727272727273,human,False,True,True,True,NovoFy,
10,6,1.0,0,0.0,8,0.7272727272727273,human,False,True,True,True,NovoFy,
11,5,0.8333333333333334,3,0.375,5,0.45454545454545453,human,True,True,True,True,MRAZS,346.10474999999997
12,3,0.5,2,0.25,2,0.18181818181818182,human,False,True,True,True,MRAZS,
13,6,1.0,2,0.25,7,0.6363636363636364,human,True,True,True,True,MRAZS,1.2511
14,5,0.8333333333333334,3,0.375,5,0.45454545454545453,human,True,True,True,True,MRAZS,81.97735
15,6,1.0,0,0.0,7,0.6363636363636364,human,True,True,True,True,MRAZS,72.87365
16,6,1.0,3,0.375,8,0.7272727272727273,human,False,True,True,True,MRAZS,
17,5,0.8333333333333334,2,0.25,8,0.7272727272727273,human,True,True,True,True,MRAZS,1.11345
18,6,1.0,2,0.25,8,0.7272727272727273,human,False,True,True,True,MRAZS,
19,0,0.0,0,0.0,0,0.0,human,,,False,False,MRAZS,
20,0,0.0,0,0.0,0,0.0,human,,,False,False,MRAZS,
21,5,0.8333333333333334,2,0.25,4,0.36363636363636365,human,True,True,True,True,EuroBros,86.49924999999999
22,6,1.0,1,0.125,7,0.6363636363636364,human,True,True,True,True,EuroBros,215.597
23,6,1.0,2,0.25,8,0.7272727272727273,human,True,True,True,True,EuroBros,532.32575
24,6,1.0,0,0.0,8,0.7272727272727273,human,False,True,True,True,EuroBros,
25,5,0.8333333333333334,2,0.25,4,0.36363636363636365,human,True,True,True,True,EuroBros,97.1946
26,6,1.0,0,0.0,7,0.6363636363636364,human,False,True,True,True,EuroBros,
27,6,1.0,0,0.0,8,0.7272727272727273,human,False,True,True,True,EuroBros,
28,6,1.0,1,0.125,7,0.6363636363636364,human,False,True,True,True,EuroBros,
29,6,1.0,0,0.0,7,0.6363636363636364,human,False,True,True,True,EuroBros,
30,6,1.0,0,0.0,7,0.6363636363636364,human,False,True,True,True,EuroBros,
31,0,0.0,0,0.0,0,0.0,human,False,False,True,False,DeNovo,
32,4,0.6666666666666666,0,0.0,4,0.36363636363636365,human,,,False,False,DeNovo,
33,6,1.0,2,0.25,7,0.6363636363636364,human,True,True,True,True,StanFold,69.7498
34,6,1.0,1,0.125,6,0.5454545454545454,human,True,True,True,True,StanFold,12.47215
35,6,1.0,1,0.125,6,0.5454545454545454,human,True,True,True,True,StanFold,27.389000000000003
36,5,0.8333333333333334,1,0.125,6,0.5454545454545454,human,,,False,False,StanFold,
37,0,0.0,0,0.0,0,0.0,human,False,True,True,True,StanFold,
38,6,1.0,2,0.25,7,0.6363636363636364,human,False,True,True,True,StanFold,
39,6,1.0,1,0.125,6,0.5454545454545454,human,False,True,True,True,StanFold,
40,6,1.0,0,0.0,8,0.7272727272727273,human,False,True,True,True,StanFold,
41,0,0.0,0,0.0,0,0.0,human,False,True,True,True,StanFold,
42,6,1.0,1,0.125,8,0.7272727272727273,human,False,True,True,True,StanFold,
43,5,0.8333333333333334,1,0.125,6,0.5454545454545454,human,,,False,False,1000Tokens,
44,0,0.0,0,0.0,0,0.0,human,,,False,False,1000Tokens,
45,6,1.0,2,0.25,9,0.8181818181818182,human,True,True,True,True,1000Tokens,32.12065
46,5,0.8333333333333334,1,0.125,4,0.36363636363636365,human,True,True,True,True,1000Tokens,503.49665
47,5,0.8333333333333334,1,0.125,5,0.45454545454545453,human,True,True,True,True,1000Tokens,46.148300000000006
48,4,0.6666666666666666,3,0.375,5,0.45454545454545453,human,True,True,True,True,1000Tokens,639.21695
49,4,0.6666666666666666,0,0.0,2,0.18181818181818182,human,False,True,True,True,1000Tokens,
50,6,1.0,0,0.0,6,0.5454545454545454,human,False,False,True,False,1000Tokens,
51,6,1.0,1,0.125,5,0.45454545454545453,human,,,False,False,1000Tokens,
52,0,0.0,0,0.0,0,0.0,human,False,True,True,True,1000Tokens,
53,6,1.0,0,0.0,8,0.7272727272727273,human,True,True,True,True,crow,949.04785
54,5,0.8333333333333334,0,0.0,5,0.45454545454545453,human,False,True,True,True,crow,
55,6,1.0,1,0.125,8,0.7272727272727273,human,True,True,True,True,crow,591.7795
56,6,1.0,0,0.0,8,0.7272727272727273,human,False,True,True,True,crow,
57,6,1.0,0,0.0,6,0.5454545454545454,human,False,True,True,True,crow,
58,6,1.0,1,0.125,8,0.7272727272727273,human,False,True,True,True,crow,
59,6,1.0,1,0.125,7,0.6363636363636364,human,False,True,True,True,crow,
60,6,1.0,1,0.125,7,0.6363636363636364,human,True,True,True,True,crow,1197.53735
61,6,1.0,1,0.125,8,0.7272727272727273,human,False,True,True,True,crow,
62,6,1.0,1,0.125,7,0.6363636363636364,human,True,True,True,True,crow,1634.8125999999995
63,4,0.6666666666666666,1,0.125,4,0.36363636363636365,human,True,True,True,True,BART.bio,1154.57135
64,3,0.5,2,0.25,3,0.2727272727272727,human,,,False,False,BART.bio,
65,6,1.0,2,0.25,5,0.45454545454545453,human,False,True,True,True,BART.bio,
66,3,0.5,1,0.125,3,0.2727272727272727,human,,,False,False,BART.bio,
67,3,0.5,0,0.0,4,0.36363636363636365,human,,,False,False,BART.bio,
68,4,0.6666666666666666,2,0.25,5,0.45454545454545453,human,False,True,True,True,BART.bio,
69,5,0.8333333333333334,3,0.375,6,0.5454545454545454,human,False,True,True,True,BART.bio,
70,4,0.6666666666666666,0,0.0,4,0.36363636363636365,human,,,False,False,BART.bio,
71,0,0.0,0,0.0,0,0.0,human,False,False,True,False,BART.bio,
