pair,n,spearman,median_signed_diff,a_gt_b_frac,wilcoxon_p
protenix_vs_chai,141,0.322,-418.0,0.184,7.117408390944665e-18
protenix_vs_esmfold2,100,0.499,-244.9,0.29,1.292953808588655e-08
