test,binder_contact,nonbinder_contact,binder_nocontact,nonbinder_nocontact,odds_ratio,p
hydrophobic_tip_aggregate,36,47,1,5,3.83,0.3942
basic_patch_aggregate,31,26,6,26,5.167,0.0015
