family,descriptor,outcome,n,rho,ci_low,ci_high,p_perm,q_bh,set
stability,bsa,log_kon,33,0.0106951871657754,-0.3570363270949231,0.38689533602732723,0.9595040495950405,0.9595040495950405,primary_n33
stability,n_iface_binder,log_kon,33,0.10207495199371408,-0.2944431186208691,0.43789355799332624,0.5727427257274272,0.8281571842815719,primary_n33
stability,hbonds,log_kon,33,0.12487598838812257,-0.2574653053597791,0.44485233364861815,0.48335166483351666,0.8281571842815719,primary_n33
stability,hbond_density_per100,log_kon,33,0.1803292393694692,-0.19180711837878847,0.47866856349018183,0.3027697230276972,0.8281571842815719,primary_n33
stability,iface_frac_hydrophobic,log_kon,33,-0.07025764662908522,-0.434508282437996,0.31666404716520646,0.6901309869013099,0.8281571842815719,primary_n33
stability,rosetta_dg,log_kon,33,0.09191176470588236,-0.29150401484469884,0.43679184874076027,0.5981401859814018,0.8281571842815719,primary_n33
stability,prodigy_protenix_dg,log_kon,0,,,,,,primary_n33
stability,bsa,log_koff,33,-0.44719251336898397,-0.7017139041010775,-0.09297190240309,0.0105989401059894,0.06359364063593641,primary_n33
stability,n_iface_binder,log_koff,33,-0.3030244861991611,-0.5594258562899237,0.018238689674653988,0.08359164083591641,0.16718328167183283,primary_n33
stability,hbonds,log_koff,33,-0.20050747529882937,-0.4961334406865515,0.1524347828722324,0.2693730626937306,0.32324767523247677,primary_n33
stability,hbond_density_per100,log_koff,33,-0.14707111273877008,-0.46552300005145686,0.18626975389730846,0.40535946405359463,0.40535946405359463,primary_n33
stability,iface_frac_hydrophobic,log_koff,33,0.34141870659514983,-0.06351839107326612,0.6390959553638771,0.04839516048395161,0.14518548145185484,primary_n33
stability,rosetta_dg,log_koff,33,0.23295454545454547,-0.15743276040823537,0.5326112170349997,0.1855814418558144,0.2783721627837216,primary_n33
stability,prodigy_protenix_dg,log_koff,0,,,,,,primary_n33
stability,bsa,log_kd,33,-0.47025401069518724,-0.7144065055817758,-0.09500095818039288,0.006999300069993001,0.041995800419958006,primary_n33
stability,n_iface_binder,log_kd,33,-0.4045941166483519,-0.6184807165632664,-0.12974192531641907,0.021597840215978402,0.0647935206479352,primary_n33
stability,hbonds,log_kd,33,-0.2583235452927919,-0.5728512430919614,0.09140686141458632,0.1473852614738526,0.22107789221077892,primary_n33
stability,hbond_density_per100,log_kd,33,-0.21659563876073412,-0.5181911833512161,0.12344113053702638,0.23077692230776922,0.23077692230776922,primary_n33
stability,iface_frac_hydrophobic,log_kd,33,0.3188358916072296,-0.06254251024769632,0.639630116772956,0.0725927407259274,0.1451854814518548,primary_n33
stability,rosetta_dg,log_kd,33,0.22058823529411767,-0.18530262175175363,0.5397366135438545,0.2243775622437756,0.23077692230776922,primary_n33
stability,prodigy_protenix_dg,log_kd,0,,,,,,primary_n33
electrostatic,charge_complementarity,log_kon,33,-0.1230464817284178,-0.4588472826346749,0.2197003857555297,0.49995000499950004,0.5853414658534146,primary_n33
electrostatic,abs_binder_iface_charge,log_kon,33,-0.0964715976600772,-0.4288646437103614,0.28556110581173627,0.5853414658534146,0.5853414658534146,primary_n33
electrostatic,salt_bridges,log_kon,33,0.1655701732105471,-0.26857391059318225,0.5038359701100088,0.35396460353964604,0.5853414658534146,primary_n33
electrostatic,iface_frac_charged,log_kon,33,0.29094883597342674,-0.08024868198588837,0.602594860737902,0.09779022097790221,0.39116088391160886,primary_n33
electrostatic,charge_complementarity,log_koff,33,-0.340692310558574,-0.6023972615263384,0.02767221455927421,0.0491950804919508,0.0983901609839016,primary_n33
electrostatic,abs_binder_iface_charge,log_koff,33,-0.45772327675504487,-0.705109930640088,-0.06564368602807841,0.006999300069993001,0.027997200279972004,primary_n33
electrostatic,salt_bridges,log_koff,33,-0.004754835743482378,-0.3235570077241082,0.3276564281827029,0.9811018898110189,0.9811018898110189,primary_n33
electrostatic,iface_frac_charged,log_koff,33,-0.14555807205111054,-0.48920090093567725,0.24879341966793353,0.41075892410758924,0.5476785654767856,primary_n33
electrostatic,charge_complementarity,log_kd,33,-0.28362971506482076,-0.5496460428468329,0.0673089726987651,0.11358864113588642,0.22717728227177283,primary_n33
electrostatic,abs_binder_iface_charge,log_kd,33,-0.4137942456776883,-0.6966425212321117,-0.003598739106141774,0.017198280171982803,0.06879312068793121,primary_n33
electrostatic,salt_bridges,log_kd,33,-0.044491677314013676,-0.34793655810537033,0.2684621990599931,0.8007199280071993,0.8007199280071993,primary_n33
electrostatic,iface_frac_charged,log_kd,33,-0.15726964106671715,-0.4961880188300153,0.24002012490174202,0.388961103889611,0.518614805186148,primary_n33
confidence,submitted_ipsae,log_kon,33,0.16544117647058826,-0.2036992769772884,0.47186586006338954,0.3565643435656434,0.5257474252574742,primary_n33
confidence,boltz2_iptm,log_kon,33,0.1524064171122995,-0.20762616535335554,0.4524421001778153,0.3925607439256074,0.5257474252574742,primary_n33
confidence,boltz2_plddt,log_kon,33,0.13201871657754014,-0.24050035918937981,0.4616942251990781,0.4487551244875512,0.5257474252574742,primary_n33
confidence,boltz2_complex_plddt,log_kon,33,0.11530748663101605,-0.2573634722908973,0.4358198924731183,0.5257474252574742,0.5257474252574742,primary_n33
confidence,submitted_ipsae,log_koff,33,-0.3175133689839572,-0.5910374020661786,0.04293045501951615,0.07239276072392761,0.28957104289571045,primary_n33
confidence,boltz2_iptm,log_koff,33,-0.19050802139037434,-0.5018522463018222,0.20933445483694502,0.2943705629437056,0.39249408392494084,primary_n33
confidence,boltz2_plddt,log_koff,33,-0.20086898395721925,-0.5110949218183956,0.17750541644971443,0.25877412258774124,0.39249408392494084,primary_n33
confidence,boltz2_complex_plddt,log_koff,33,-0.14371657754010697,-0.4652756287964733,0.22354687918386895,0.42595740425957407,0.42595740425957407,primary_n33
